idx,smiles
44,CC(SC1=C2OCCOCCOCCOC)=CC1=C(OCCOCCOCCOC)C3=C2C=C(C4=CC=C(C5=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C(C6=CC=C(C)S6)C7=NN(CC(CCCC)CCCCCC)N=C75)S4)S3
45,CC1=CC=C(S1)C2=CC=C(S2)C3=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C4=CC5=C(S4)C6=C(C=C(S6)C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=NON=C58)S3
46,CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=CC=C(C3=CC=C(C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C5=CC(F)=C(C6=C(F)C=C(C)S6)S5)S4)S3)S2)S1
47,CCCCCCCCN1N=C(C2=N1)C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C(F)=C5F)S4)S3)=C(F)C(F)=C2C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S7
48,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
49,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC
50,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(SC6=C7C8=CC(F)=C(CC(CC)CCCC)S8)=CC6=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C7C=C(C)S%10)S5
51,CCC(CC1=CC(C(C2=C3C=C(C)S2)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)=C4)=C3C%10=CC=CC(CC(CCCC)CC)=C%10)=CC=C1)CCCC
52,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
53,CC1=C(C=C(C(S2)=CC3=C2C(S4)=C(N(CC(CCCCCC)CCCCCCCC)C3=O)C=C4C5=CC(CC(CCCCCC)CCCCCCCC)=C(C6=CC=C(C7=C(C(F)=C(C8=CC=C(C)S8)C9=NSN=C97)F)S6)S5)S1)CC(CCCCCC)CCCCCCCC
54,CC(S1)=CC(F)=C1C2=C(F)C=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C)C4=NON=C43)S2
55,CC1=CC2=C(C(SC(C3=CC(CCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(CCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1
56,CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(S3)C4=CC(NC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C5=NC(SC(C6=C(NC(OCC(CCCCCCCC)CCCCCCCCCC)=O)C=C(C)S6)=N7)=C7S5)S4)=C(C8=CC=C(CC(CC)CCCC)S8)C9=C2C=C(C)S9
57,CC(S1)=CC=C1C(C2=NN(CC(CCCCCC)CCCCCCCC)N=C23)=C(F)C(F)=C3C4=CC=C(C5=CC6=C(S5)C7=C(C(C8=CC=C(SCC(CCCC)CCCCCC)S8)=C9C(SC(C)=C%10)=C%10SC9=C7C%11=CC=C(SCC(CCCC)CCCCCC)S%11)S6)S4
