idx,smiles
32,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2OCCCCCCCC)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)S%11)=C9OCCCCCCCC)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8
34,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)OC4=C(SC5=C4SC6=C5OC(C7=C6SC8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C(SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13
35,O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C%10C%11=C9C=CC=C%11C%12=C%13C%10=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%14=O)=O)C%13C%14C=C%12)S8)S7)S6)C%15=C5C4=CC=C%15
36,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=C(Cl)SC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=C(Cl)SC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12
37,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15
38,O=C1C(C2=C(C3=CC=C(C4=CC(C=CC=C5)=C5S4)S3)N1CC(CC)CCCC)=C(C(S6)=CC=C6C7=CC8=C(C9C(C8(C%10C%11C=CC(C%12=CC=C(C%13=C%14C(C(N%13CC(CC)CCCC)=O)=C(C%15=CC=C(C%16=CC(C=CC=C%17)=C%17S%16)S%15)N(CC(CC)CCCC)C%14=O)S%12)=C%10)C%18=C%11C=CC(C%19=CC=C(C%20=C%21C(C(N%20CC(CC)CCCC)=O)=C(C%22=CC=C(C%23=CC(C=CC=C%24)=C%24S%23)S%22)N(CC(CC)CCCC)C%21=O)S%19)=C%18)C=C(C%25=CC=C(C%26=C%27C(C(N%26CC(CC)CCCC)=O)=C(C%28=CC=C(C%29=CC(C=CC=C%30)=C%30S%29)S%28)N(CC(CC)CCCC)C%27=O)S%25)C=C9)C=C7)N(CC(CC)CCCC)C2=O
39,O=C1C2=C(C(/C1=C/C3=CC(SC(C4=C5C(S6)=C(S4)C7=C6C(SC8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)\C#N)=C8)=C9C(C(C=C%12)=CC=C%12CCCCCC)7C(C=C%13)=CC=C%13CCCCCC)=C%14C5(C(C=C%15)=CC=C%15CCCCCC)C(C=C%16)=CC=C%16CCCCCC)=C%14S3)=C(C#N)\C#N)C=CC=C2
40,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C=C6C5(CCCCCCCC)CCCCCCCC
41,O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC(SC(C7=CC=C8C9=C7C=CC=C9C%10=C%11C8=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%12=O)=O)C%11C%12C(CC(C)(C)C)=C%10)=C%13)=C%13S6)C%14=C5C4=CC=C%14
42,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(C(N(CCCCCCCC)C%13=O)=O)=C(/C=C%14/C(C%15=C(C%14=O)C=CC=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9
43,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC=C3C4=CC=C(C(C=CC(C5=CC=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S5)=C8)=C8C9(CCCCCCCC)CCCCCCCC)C9=C4
44,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCCCC)C=C6)4C7=CC=CC(CCCCCCCC)=C7)C=C8C(N(C(CCCCCCCC)CCCCCCCC)C9=C8C=C%10C(C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13)=C%13C%10(C%14=CC=C(CCCCCCCC)C=C%14)C%15=CC=C(CCCCCCCC)C=C%15)=C9)=C5
45,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7C=C(N8CC(CCCCCC)CCCCCCCC)C(C(C8=C9)=CC%10=C9C(SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%13)=C%13C%10(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C6)=C7S3
46,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16
47,CCCCCCC(C1=C2SC(/C=C3C(C(C=CC=C4)=C4C\3=C(C#N)\C#N)=O)=C1)(CCCCCC)C5=C2C(OC)=C(C(CCCCCC)(CCCCCC)C6=C7SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C6)C7=C5OC
48,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15
49,O=C(C(C=C(Br)C=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=CC(Br)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3
50,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8S(C(C=CC=C9)=C9C\8=C(C#N)\C#N)(=O)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13S(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)(=O)=O)=C%15)=C%15S%12
51,ClB1N2/C3=N\C(C4=C/5C=C(C=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C6=C7)C7=C4)=NC5=N/C(N81)=C9C(C=C(C=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%10=C%11)C%11=C9)=C8N=C2C%12=C3C=C(C=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%13=C%14)C%14=C%12
52,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=CC=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3
53,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C(C6=C7C8=C(C9=CC%10=C%11C(C%12=CC=C%11C(N(C(CCCCCC)CCCCCC)C%10=O)=O)=C9C%13=C8C=C(C(N(C(CCCCCC)CCCCCC)C%14=O)=O)C%15=C%14C=CC%12=C%13%15)[Te]6)C=C(C(N(C(CCCCCC)CCCCCC)C%16=O)=O)C%17=C%16C=CC3=C5%17)C7=CC1=C42
54,CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O
55,CCCCCCC(C=C1)=CC=C1C2(C(C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)/C#N)=O)=C5)=C5S6)=C6C7=CC(O8)=C(C9=C(C8(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C(SC(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%14)=C%14S9)C=C7O2)C%15=CC=C(CCCCCC)C=C%15
56,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=C6SC7=C(C8=CC=C(CC(CCCC)CC)S8)C9=C(C(C%10=CC=C(CC(CC)CCCC)S%10)=C57)SC(C%11=C%12C=C(/C=C%13/C(C(C=CC=C%14)=C%14C%13=O)=C(C#N)\C#N)S%11)=C9C%12(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C6S3)=C(C#N)\C#N
57,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=C(Cl)C(Cl)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3
58,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(N5CC(CCCCCC)CCCCCCCC)C(C6=CC(C(C(C=C7)=CC=C7CCCCCC)(C8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C8)C(C=C%12)=CC=C%12CCCCCC)=C9C=C65)=C4)C%13=C2C=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)S%13
59,O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C(C=C6)=CC=C6C(C7=CC=C(C8=CC9=C%10C(C%11=CC=C%12C%13=C%11C9=CC=C%13C(N(C(CCC)CCC)C%12=O)=O)=CC=C(C%14=O)C%10C8C(N%14C(CCC)CCC)=O)C=C7)(C%15=CC=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18C%16C(N%22C(CCC)CCC)=O)C=C%15)C%23=CC=C(C%24=C%25C%26=C(C%27=CC=C%26C(N(C(CCC)CCC)C%25=O)=O)C(C%28=CC=C(C%29=O)C%30C%28=C%27C=CC%30C(N%29C(CCC)CCC)=O)=C%24)C=C%23)=C%31C%32=C5C4=CC=C%32C(N(C(CCC)CCC)C%31=O)=O
60,O=C(N(CC(CC)CCCC)C1=O)C2=C(C3=CC=C(C4=CC=CS4)S3)C=C(C(N5CC(CC)CCCC)=O)C6=C2C1=CC(C7=CC=C(C8=CC=CS8)S7)=C6C5=O
61,CCCCCCC1=CC=C(C(C2=CC=C(CCCCCC)C=C2)(O3)C4=C(SC(/C=C5C(C(C=C(Cl)C=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C3C8=C(S7)C9=C(C(SC(/C=C%10C(C(C=C(Cl)C=C%11)=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C(C%13=CC=C(CCCCCC)C=C%13)(C%14=CC=C(CCCCCC)C=C%14)O9)S8)C=C1
